epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.53662,0.93451,3.00515,1.20403,0.47523,0.7957,0.48161,0.36858,0.88616,3.24121,1.15595,0.000531507,0.000531507,0.000531507
2,11.8231,0.89816,1.31578,1.20476,0.83827,0.72532,0.7742,0.57879,0.86026,2.01178,1.24289,0.00107641,0.00107641,0.00107641
3,16.728,0.94293,1.25058,1.23161,0.67292,0.81769,0.8028,0.53768,0.92136,7.22745,1.25675,0.00161031,0.00161031,0.00161031
4,21.5418,0.89636,1.16447,1.20946,0.50602,0.53372,0.4687,0.26278,1.30762,2.99585,1.61373,0.00161749,0.00161749,0.00161749
5,26.3177,0.86715,1.15728,1.19299,0.69743,0.73744,0.75963,0.55289,0.92276,2.03907,1.23136,0.00160099,0.00160099,0.00160099
6,30.5886,0.85557,0.99959,1.17648,0.62713,0.71948,0.78881,0.58654,0.87983,3.45593,1.23604,0.00158448,0.00158448,0.00158448
7,35.3927,0.83832,0.98176,1.14481,0.69755,0.83578,0.87853,0.6735,0.82979,1.71887,1.20632,0.00156798,0.00156798,0.00156798
8,40.1684,0.84288,0.95314,1.1411,0.8727,0.78526,0.89504,0.70639,0.73896,1.1103,1.06781,0.00155148,0.00155148,0.00155148
9,45.0203,0.814,0.95255,1.11983,0.85848,0.83861,0.8938,0.72563,0.68833,1.03206,1.04478,0.00153497,0.00153497,0.00153497
10,49.8622,0.7637,0.88959,1.11929,0.75631,0.84544,0.86694,0.66021,0.82465,1.46039,1.13069,0.00151847,0.00151847,0.00151847
11,54.6794,0.79609,0.88214,1.12768,0.77798,0.8735,0.86805,0.686,0.7693,1.06528,1.08099,0.00150197,0.00150197,0.00150197
12,59.46,0.7601,0.833,1.10561,0.83929,0.79326,0.87031,0.65882,0.80807,1.03506,1.111,0.00148546,0.00148546,0.00148546
